J-Date,Date,Weekday,Open,High,Low,Close
1392-02-31,2013-05-21,Tuesday,35600,35700,35450,35650
1392-03-01,2013-05-22,Wednesday,35550,35550,35400,35450
1392-03-03,2013-05-24,Friday,35500,35800,35500,35700
1392-03-04,2013-05-25,Saturday,35850,36280,35850,36150
1392-03-05,2013-05-26,Sunday,36100,36280,36100,36280
1392-03-06,2013-05-27,Monday,36300,36850,36300,36850
1392-03-07,2013-05-28,Tuesday,36900,36900,36480,36580
1392-03-08,2013-05-29,Wednesday,36450,36450,36150,36200
1392-03-10,2013-05-31,Friday,36180,36520,36180,36450
1392-03-11,2013-06-01,Saturday,36480,36500,36280,36280
1392-03-12,2013-06-02,Sunday,36320,36350,36280,36350
1392-03-17,2013-06-07,Friday,36480,36700,36480,36700
1392-03-18,2013-06-08,Saturday,36650,36650,36300,36300
1392-03-19,2013-06-09,Sunday,36300,36300,36200,36200
1392-03-20,2013-06-10,Monday,35950,36000,35850,35850
1392-03-21,2013-06-11,Tuesday,35950,36450,35950,36450
1392-03-22,2013-06-12,Wednesday,36350,36350,36300,36300
1392-03-24,2013-06-14,Friday,36000,36000,34500,34800
1392-03-25,2013-06-15,Saturday,34400,35200,34400,35100
1392-03-26,2013-06-16,Sunday,35000,35000,34500,34550
1392-03-27,2013-06-17,Monday,35000,35000,34500,34500
